instance,topic
Q286172,Q39631
Q286172,Q864503
Q24803683,Q39631
Q217650,Q39631
Q217650,Q1622272
Q217650,Q3368718
Q2833593,Q39631
Q2833593,Q593644
Q3262439,Q39631
Q3262439,Q2055046
Q3262439,Q6337803
Q391083,Q16917
Q391083,Q31855
Q391083,Q2385804
Q337555,Q162633
Q337555,Q1966910
